station_id,x,y,name,stop_lat,stop_lon,endpoint
place-lech,186.0660172,130.20815275,Lechmere Station,42.371572,-71.076584,0
place-spmnl,193.137085,123.13708494,Science Park Station,42.366664,-71.067666,0
place-north,200.2081528,116.06601713,North Station,42.365577,-71.06129,0
place-haecl,200.2081528,106.06601713,Haymarket Station,42.363021,-71.05829,0
place-gover,193.137085,98.99494931999999,Government Center Station,42.359705,-71.059215,0
place-pktrm,186.0660172,91.92388151,Park St. Station,42.356395,-71.062424,0
place-boyls,176.0660172,91.92388151,Boylston Street Station,42.35302,-71.06459,0
place-armnl,166.0660172,91.92388151,Arlington Station,42.351902,-71.070893,0
place-coecl,156.0660172,91.92388151,Copley Station,42.349974,-71.077447,0
place-prmnl,148.9949494,84.85281368999999,Prudential Station,42.34557,-71.081696,0
place-symcl,148.9949494,64.85281368999999,Symphony Station,42.342687,-71.085056,0
place-nuniv,141.92388160000002,57.78174587999999,Northeastern University Station,42.340401,-71.088806,0
place-mfa,134.85281369999998,50.71067807,Museum of Fine Arts Station,42.337711,-71.095512,0
place-lngmd,127.7817459,43.6396103,Longwood Medical Area Station,42.33596,-71.100052,0
place-brmnl,120.71067810000001,36.5685424,Brigham Circle Station,42.334229,-71.104609,0
place-fenwd,113.6396103,29.497474599999993,Fenwood Road Station,42.333706,-71.105728,0
place-mispk,106.5685425,22.42640679999999,Mission Park Station,42.333195,-71.109756,0
place-rvrwy,99.49747468,15.35533899999999,Riverway Station,42.331684,-71.111931,0
place-bckhl,92.42640687,8.284271199999989,Back of the Hill Station,42.330139,-71.111313,0
place-hsmnl,85.35533905999999,1.2132034000000047,Heath Street Station,42.328316,-71.110252,1
place-hymnl,146.0660172,91.92388151,Hynes Convention Center,42.347888,-71.087903,0
place-kencl,136.0660172,91.92388151,Kenmore Station,42.348949,-71.095169,0
place-fenwy,121.9238816,77.78174588,Fenway Station,42.345403,-71.104213,0
place-longw,114.85281369999998,70.71067807,Longwood Station,42.341702,-71.109956,0
place-bvmnl,107.7817459,63.63961026,Brookline Village Station,42.332608,-71.116857,0
place-brkhl,100.71067810000001,56.568542449999995,Brookline Hills Station,42.331316,-71.126683,0
place-bcnfd,93.63961031000001,49.49747463,Beaconsfield Station,42.335765,-71.140455,0
place-rsmnl,86.56854249,42.426406799999995,Reservoir Station,42.335088,-71.148758,0
place-chhil,79.49747468,35.35533899999999,Chestnut Hill Station,42.326753,-71.164699,0
place-newto,72.42640687,28.28427119999999,Newton Centre Station,42.329443,-71.192414,0
place-newtn,65.35533906,21.213203400000005,Newton Highlands Station,42.322381,-71.205509,0
place-eliot,58.28427125,14.142135600000003,Eliot Station,42.319045,-71.216684,0
place-waban,51.21320344,7.071067800000002,Waban Station,42.325845,-71.230609,0
place-woodl,44.14213562,0.0,Woodland Station,42.332902,-71.243362,0
place-river,34.14213562,0.0,Riverside Station,42.337352,-71.252685,1
place-smary,116.0660172,91.92388151,Saint Mary Street Station,42.345974,-71.107353,0
place-hwsst,108.9949494,98.99494931999999,Hawes Street Station,42.344906,-71.111145,0
place-kntst,101.9238816,106.06601713,Kent Street Station,42.344074,-71.114197,0
place-stpul,91.92388155,106.06601713,Babcock Street Station,42.343327,-71.116997,0
