,source_station_id,target_station_id,route_id,x_source,y_source,x_target,y_target,lon_source,lat_source,lon_target,lat_target,direction
7,place-armnl,place-coecl,green-d,166.0660172,91.92388151,156.0660172,91.92388151,-71.070893,42.351902,-71.070893,42.351902,0
7,place-coecl,place-armnl,green-d,156.0660172,91.92388151,166.0660172,91.92388151,-71.077447,42.349974,-71.077447,42.349974,1
19,place-coecl,place-hymnl,green-d,156.0660172,91.92388151,146.0660172,91.92388151,-71.077447,42.349974,-71.077447,42.349974,0
19,place-hymnl,place-coecl,green-d,146.0660172,91.92388151,156.0660172,91.92388151,-71.087903,42.347888,-71.087903,42.347888,1
20,place-hymnl,place-kencl,green-d,146.0660172,91.92388151,136.0660172,91.92388151,-71.087903,42.347888,-71.087903,42.347888,0
20,place-kencl,place-hymnl,green-d,136.0660172,91.92388151,146.0660172,91.92388151,-71.095169,42.348949,-71.095169,42.348949,1
0,place-lech,place-spmnl,green-e,186.0660172,130.20815275,193.137085,123.13708494,-71.076584,42.371572,-71.076584,42.371572,0
0,place-spmnl,place-lech,green-e,193.137085,123.13708494,186.0660172,130.20815275,-71.067666,42.366664,-71.067666,42.366664,1
1,place-spmnl,place-north,green-e,193.137085,123.13708494,200.2081528,116.06601713,-71.067666,42.366664,-71.067666,42.366664,0
1,place-north,place-spmnl,green-e,200.2081528,116.06601713,193.137085,123.13708494,-71.06129,42.365577,-71.06129,42.365577,1
2,place-north,place-haecl,green-e,200.2081528,116.06601713,200.2081528,106.06601713,-71.06129,42.365577,-71.06129,42.365577,0
2,place-haecl,place-north,green-e,200.2081528,106.06601713,200.2081528,116.06601713,-71.05829,42.363021,-71.05829,42.363021,1
3,place-haecl,place-gover,green-e,200.2081528,106.06601713,193.137085,98.99494932,-71.05829,42.363021,-71.05829,42.363021,0
3,place-gover,place-haecl,green-e,193.137085,98.99494932,200.2081528,106.06601713,-71.059215,42.359705,-71.059215,42.359705,1
4,place-gover,place-pktrm,green-e,193.137085,98.99494932,186.0660172,91.92388151,-71.059215,42.359705,-71.059215,42.359705,0
4,place-pktrm,place-gover,green-e,186.0660172,91.92388151,193.137085,98.99494932,-71.062424,42.356395,-71.062424,42.356395,1
5,place-pktrm,place-boyls,green-e,186.0660172,91.92388151,176.0660172,91.92388151,-71.062424,42.356395,-71.062424,42.356395,0
5,place-boyls,place-pktrm,green-e,176.0660172,91.92388151,186.0660172,91.92388151,-71.06459,42.35302,-71.06459,42.35302,1
