x,y1,y2
14.142135630000013,139.85028838,145.85028838
73.63961031000001,139.85028838,145.85028838
93.63961031000001,139.85028838,145.85028838
99.13961031,139.85028838,145.85028838
99.13961031,139.85028838,145.85028838
104.63961031,134.35028838,145.85028838
136.0660172,102.92388149,114.42388149
138.98989869,100,111.5
147,100,102
175,100,102
185,110,112
215,110,112
